close_approach_time_TDB,designation,fullname,dist_au,dist_ld,v_rel_km_s,H_abs_mag,diam_km_nom,diam_km_min,diam_km_max,moid_au,close_<=0.05au,big_enough_H<=22,PHA_by_def
2025-Oct-04 09:12,2021 TD1,       (2021 TD1),0.171708147,66.82,15.71628095,26.01,0.022308017,0.016693791,0.037328452,0.00118,FALSE,FALSE,FALSE
2025-Oct-04 07:04,2023 TT,       (2023 TT),0.17255766,67.15,17.09600939,24.07,0.05450809,0.040790119,0.09120948,0.0638,FALSE,FALSE,FALSE
2025-Sep-21 11:52,2019 SB6,       (2019 SB6),0.172684587,67.2,5.50738928,26.78,0.015648077,0.011709948,0.02618424,0.00156,FALSE,FALSE,FALSE
2025-Oct-06 19:39,2013 TT5,       (2013 TT5),0.174970376,68.09,8.081453263,26.3,0.019519153,0.014606796,0.03266179,0.0249,FALSE,FALSE,FALSE
2025-Sep-18 05:47,2025 QB11,       (2025 QB11),0.175655092,68.36,21.27482427,22.013,0.140559746,0.105185282,0.235201441,0.104,FALSE,FALSE,FALSE
2025-Sep-15 10:06,2018 VL7,       (2018 VL7),0.176902784,68.85,8.740547789,20.95,0.229330049,0.171614894,0.383742569,0.124,FALSE,TRUE,FALSE
2025-Sep-21 20:59,2024 SK3,       (2024 SK3),0.179000096,69.66,21.48878123,24.08,0.054257648,0.040602706,0.09079041,0.139,FALSE,FALSE,FALSE
2025-Sep-19 17:47,2025 QV16,       (2025 QV16),0.180090584,70.09,16.22600885,22.251,0.125968211,0.094265978,0.210785134,0.129,FALSE,FALSE,FALSE
2025-Oct-06 06:32,2024 UJ5,       (2024 UJ5),0.180570018,70.27,11.36498196,25.64,0.026452149,0.019794976,0.044262912,0.0597,FALSE,FALSE,FALSE
2025-Sep-21 17:07,385605,385605 (2005 EJ225),0.181284866,70.55,21.90755327,18.99,0.565536921,0.42320908,0.946324271,0.0174,FALSE,TRUE,TRUE
2025-Sep-26 06:38,2025 QX16,       (2025 QX16),0.18494538,71.98,18.11331167,21.614,0.168912178,0.1264023,0.282644135,0.166,FALSE,TRUE,FALSE
2025-Oct-04 18:19,2020 CR2,       (2020 CR2),0.185506099,72.19,21.69576002,27.32,0.012202841,0.00913177,0.020419259,0.00659,FALSE,FALSE,FALSE
2025-Sep-14 02:53,2023 RA16,       (2023 RA16),0.185639009,72.25,14.31009097,24.41,0.046608053,0.034878273,0.07799019,0.147,FALSE,FALSE,FALSE
2025-Sep-18 13:40,2021 TL14,       (2021 TL14),0.186246721,72.48,8.662166363,26.89,0.014875137,0.011131533,0.024890864,0.00342,FALSE,FALSE,FALSE
2025-Sep-30 07:37,2020 UV,       (2020 UV),0.186669868,72.65,14.08122317,27.4,0.011761453,0.008801465,0.019680675,0.00225,FALSE,FALSE,FALSE
2025-Sep-29 03:47,2025 OS12,       (2025 OS12),0.187245418,72.87,10.23193801,22.213,0.128192012,0.095930118,0.214506264,0.0815,FALSE,FALSE,FALSE
2025-Oct-10 08:30,2023 KX3,       (2023 KX3),0.187804584,73.09,8.366115032,25.77,0.024915004,0.018644682,0.041690776,0.00334,FALSE,FALSE,FALSE
2025-Sep-14 04:34,2024 RL4,       (2024 RL4),0.189253313,73.65,12.89902713,25.85,0.024013804,0.017970285,0.04018278,0.0269,FALSE,FALSE,FALSE
2025-Oct-12 08:39,2024 JK1,       (2024 JK1),0.189258165,73.65,6.711395835,26.42,0.018469748,0.013821494,0.030905799,0.0131,FALSE,FALSE,FALSE
2025-Oct-09 09:40,2024 TT5,       (2024 TT5),0.189952987,73.92,14.27809785,24.64,0.041923831,0.031372922,0.070151987,0.105,FALSE,FALSE,FALSE
2025-Oct-01 21:45,2022 AG,       (2022 AG),0.191287391,74.44,3.246144427,25.12,0.033609416,0.025150984,0.056239309,0.0013,FALSE,FALSE,FALSE
2025-Sep-24 09:37,2022 GT3,       (2022 GT3),0.191465062,74.51,7.890767517,25.9,0.023467183,0.017561232,0.039268108,0.0432,FALSE,FALSE,FALSE
2025-Oct-03 12:57,2023 RV12,       (2023 RV12),0.191469016,74.51,13.59840321,26.2,0.020439062,0.015295194,0.034201092,0.0043,FALSE,FALSE,FALSE
2025-Sep-28 08:55,2019 FY1,       (2019 FY1),0.19665483,76.53,3.965729223,28.2,0.008136937,0.006089126,0.0136157,0.016,FALSE,FALSE,FALSE
2025-Sep-30 02:12,2017 VV1,       (2017 VV1),0.19683334,76.6,21.50903694,20.21,0.322448947,0.241298697,0.539560289,0.153,FALSE,TRUE,FALSE
2025-Oct-09 20:36,2017 VW1,       (2017 VW1),0.198241077,77.15,17.50361733,20.57,0.273187588,0.204434871,0.457130269,0.198,FALSE,TRUE,FALSE
2025-Oct-13 17:15,2023 YY,       (2023 YY),0.199936817,77.81,10.21122323,24.75,0.039852995,0.029823251,0.066686815,0.037,FALSE,FALSE,FALSE
